DATE,OPHNFB_PCH
1/1/1962,1.64673
4/1/1962,-0.4036
7/1/1962,1.66912
10/1/1962,0.75815
1/1/1963,0.29323
4/1/1963,0.753
7/1/1963,2.46386
10/1/1963,-0.07481
1/1/1964,0.76471
4/1/1964,0.55724
7/1/1964,1.03177
10/1/1964,-0.96116
1/1/1965,1.42145
4/1/1965,0.46284
7/1/1965,2.04473
10/1/1965,1.7349
1/1/1966,1.35378
4/1/1966,-0.69614
7/1/1966,0.33193
10/1/1966,0.63204
1/1/1967,0.7998
4/1/1967,0.37969
7/1/1967,0.51646
10/1/1967,0.28706
1/1/1968,2.23938
4/1/1968,0.9293
7/1/1968,0.04895
10/1/1968,-0.24231
1/1/1969,0.80342
4/1/1969,-0.81787
7/1/1969,0.11446
10/1/1969,-0.48067
1/1/1970,0.32121
4/1/1970,1.47939
7/1/1970,1.58449
10/1/1970,-0.90911
1/1/1971,2.94912
4/1/1971,0.29335
7/1/1971,0.95282
10/1/1971,-0.86701
1/1/1972,1.56541
4/1/1972,1.97292
7/1/1972,0.57936
10/1/1972,0.85021
1/1/1973,2.26147
4/1/1973,0.03504
7/1/1973,-0.94155
10/1/1973,-0.62188
1/1/1974,-0.22185
4/1/1974,-0.29575
7/1/1974,-1.01822
10/1/1974,0.91817
1/1/1975,0.79188
4/1/1975,1.60266
7/1/1975,1.21954
10/1/1975,0.09143
1/1/1976,1.47981
4/1/1976,0.94015
7/1/1976,0.24375
10/1/1976,0.28862
1/1/1977,0.63866
4/1/1977,0.39957
7/1/1977,1.04762
10/1/1977,-1.27423
1/1/1978,0.04693
4/1/1978,1.97224
7/1/1978,0.06517
10/1/1978,0.64747
1/1/1979,-0.90215
4/1/1979,-0.18438
7/1/1979,-0.13661
10/1/1979,-0.10212
1/1/1980,0.48412
4/1/1980,-1.02115
7/1/1980,0.40531
10/1/1980,1.00628
1/1/1981,1.54696
4/1/1981,-1.2899
7/1/1981,0.96337
10/1/1981,-1.03921
1/1/1982,-0.45823
4/1/1982,0.01151
7/1/1982,0.18795
10/1/1982,0.8442
1/1/1983,1.28512
4/1/1983,2.16092
7/1/1983,0.44762
10/1/1983,0.53695
1/1/1984,0.36877
4/1/1984,0.59546
7/1/1984,0.4498
10/1/1984,0.12538
1/1/1985,0.30054
4/1/1985,0.31569
7/1/1985,1.27122
10/1/1985,0.40204
1/1/1986,1.20128
4/1/1986,0.78444
7/1/1986,0.42688
10/1/1986,-0.20656
1/1/1987,-0.45674
4/1/1987,0.69255
7/1/1987,0.01707
10/1/1987,0.97092
1/1/1988,0.34813
4/1/1988,0.24588
7/1/1988,0.27047
10/1/1988,0.23624
1/1/1989,0.05516
4/1/1989,0.31741
7/1/1989,0.4846
10/1/1989,0.01657
1/1/1990,0.93288
4/1/1990,0.6977
7/1/1990,0.33095
10/1/1990,-1.02857
1/1/1991,0.30045
4/1/1991,1.62705
7/1/1991,0.85688
10/1/1991,0.47111
1/1/1992,1.97892
4/1/1992,0.84947
7/1/1992,0.91031
10/1/1992,0.60344
1/1/1993,-0.86624
4/1/1993,-0.61581
7/1/1993,0.4682
10/1/1993,0.39066
1/1/1994,0.30794
4/1/1994,0.05346
7/1/1994,-0.55412
10/1/1994,1.06223
1/1/1995,0.07898
4/1/1995,0.46896
7/1/1995,-0.01964
10/1/1995,0.57112
1/1/1996,0.63097
4/1/1996,0.95396
7/1/1996,0.37709
10/1/1996,0.08103
1/1/1997,-0.22228
4/1/1997,1.48269
7/1/1997,0.83882
10/1/1997,0.51035
1/1/1998,0.57661
4/1/1998,0.54763
7/1/1998,1.36162
10/1/1998,0.77522
1/1/1999,1.3205
4/1/1999,0.24531
7/1/1999,0.95696
10/1/1999,1.52746
1/1/2000,-0.14138
4/1/2000,2.02618
7/1/2000,-0.07593
10/1/2000,1.0874
1/1/2001,-0.43417
4/1/2001,1.82105
7/1/2001,0.40525
10/1/2001,1.27833
1/1/2002,2.17113
4/1/2002,0.13043
7/1/2002,0.7582
10/1/2002,-0.04634
1/1/2003,1.05056
4/1/2003,1.2582
7/1/2003,2.27048
10/1/2003,0.96195
1/1/2004,-0.3534
4/1/2004,0.94226
7/1/2004,0.45582
10/1/2004,0.48576
1/1/2005,1.13061
4/1/2005,-0.25081
7/1/2005,0.78928
10/1/2005,0.08614
1/1/2006,0.73772
4/1/2006,-0.11429
7/1/2006,-0.31326
10/1/2006,0.84021
1/1/2007,0.27626
4/1/2007,0.42647
7/1/2007,0.97223
10/1/2007,0.79007
1/1/2008,-0.80436
4/1/2008,0.98263
7/1/2008,0.24004
10/1/2008,-0.62711
1/1/2009,0.94553
4/1/2009,2.06389
7/1/2009,1.52815
10/1/2009,1.36775
1/1/2010,0.47592
4/1/2010,0.29414
7/1/2010,0.55622
10/1/2010,0.2997
1/1/2011,-0.72696
4/1/2011,0.25857
7/1/2011,-0.42917
10/1/2011,0.65564
1/1/2012,0.37293
4/1/2012,0.47269
7/1/2012,-0.24121
10/1/2012,-0.34171
1/1/2013,0.58952
4/1/2013,-0.3329
7/1/2013,0.47902
10/1/2013,0.74745
1/1/2014,-0.85946
4/1/2014,0.83901
7/1/2014,0.918
10/1/2014,-0.55813
1/1/2015,0.72964
4/1/2015,0.55622
7/1/2015,0.16137
10/1/2015,-0.77742
1/1/2016,0.12129
4/1/2016,0.23838
7/1/2016,0.29922
10/1/2016,0.34497
1/1/2017,0.1104
4/1/2017,0.41499
7/1/2017,0.56548
10/1/2017,-0.07855
1/1/2018,0.16298
4/1/2018,0.71018
7/1/2018,0.46568
10/1/2018,0.32636
1/1/2019,0.88349
